VIO_CU,Borough,DV_MACHINE_TYPE,SINGLE,NumberFloors,YearBuilt,CAT1_UNSATI,TaxLien,Bldg_class,hpd_vio,MACHINE_DRUM,md,pre_1900,1900_1915,1916_1937,1938_1967,1968_2007,2008_2018,0_5_Floors,6_9_Floors,10_29_Floors,great30_Floors,GL,OH,BD,OG,BG,OD
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,OG,0,50.0,1969.0,1,0,Residential,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,OG,0,50.0,1969.0,1,0,Residential,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,50.0,1969.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,OH,0,50.0,1969.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,BG,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,0,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,Manhattan,GL,0,40.0,1970.0,1,0,Residential,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
